GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
96,4.46,8.63,9.96,0.01,0.63,0.0,-0.81,-109.04,8.4,133.82,-26.98,1.9,56.05,-25.08,30.97
97,4.54,6.02,11.46,0.47,0.01,0.0,-0.92,-107.2,10.11,131.22,-25.11,1.87,55.71,-23.24,32.47
98,4.48,6.5,9.48,0.01,0.01,0.0,-0.82,-104.49,8.04,128.85,-26.6,1.91,52.06,-24.69,27.37
99,5.64,10.91,12.53,0.06,0.13,0.0,-0.89,-101.23,7.71,122.45,-25.5,1.89,57.3,-23.6,33.69
100,2.04,9.11,10.65,0.16,0.05,0.0,-0.79,-100.67,6.8,127.34,-28.01,1.91,54.69,-26.1,28.59

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,0.0,0.0,0.0,0.0,0.0,0.0,-21.06,-19.51,-0.0,-0.0,33.78,-2.88,-40.57,30.9,-9.67
2,0.0,0.0,0.0,-0.0,-0.0,0.0,-16.0,-12.7,0.0,0.0,25.86,-2.54,-28.7,23.32,-5.38
3,0.0,-0.0,0.0,0.0,0.0,0.0,-12.75,-4.16,-0.0,0.0,16.65,-2.52,-16.92,14.13,-2.79
4,-0.0,0.0,0.0,-0.0,0.0,0.0,-18.9,-9.86,0.0,-0.0,23.08,-2.88,-28.77,20.2,-8.57
5,-0.0,0.0,0.0,-0.0,-0.0,0.0,-16.58,-16.76,0.0,0.0,26.52,-2.85,-33.35,23.68,-9.67
6,-0.0,0.0,-0.0,0.0,0.0,0.0,-18.74,-17.75,0.0,-0.0,28.58,-2.95,-36.49,25.63,-10.86
7,0.0,0.0,-0.0,-0.0,0.0,0.0,-17.77,-8.72,-0.0,-0.0,22.7,-2.55,-26.49,20.15,-6.34
8,-0.0,0.0,0.0,0.0,-0.0,0.0,-18.11,-17.0,0.0,-0.0,26.05,-2.89,-35.11,23.16,-11.95
9,0.0,0.0,0.0,-0.0,0.0,0.0,-18.39,-15.18,0.0,-0.0,26.19,-2.83,-33.56,23.35,-10.21
